tract_fips10,tract_name,tract_name_full,zipcode
"09011696500","6965",Census Tract 6965,"06360"
"09011660102","6601.02",Census Tract 6601.02,"06371"
"09005425600","4256",Census Tract 4256,"06058"
"09003405600","4056",Census Tract 4056,"06010"
"09013530500","5305",Census Tract 5305,"06066"
"09013881100","8811",Census Tract 8811,"06268"
"09013533101","5331.01",Census Tract 5331.01,"06084"
"09013850200","8502",Census Tract 8502,"06238"
"09003420400","4204",Census Tract 4204,"06062"
"09003514102","5141.02",Census Tract 5141.02,"06042"
"09003514400","5144",Census Tract 5144,"06040"
"09003514500","5145",Census Tract 5145,"06040"
"09003514600","5146",Census Tract 5146,"06040"
"09003514700","5147",Census Tract 5147,"06040"
"09003514800","5148",Census Tract 5148,"06040"
"09003514900","5149",Census Tract 5149,"06042"
"09001061200","612",Census Tract 612,"06825"
"09001061500","615",Census Tract 615,"06824"
"09001061600","616",Census Tract 616,"06824"
"09001070100","701",Census Tract 701,"06605"
"09013530200","5302",Census Tract 5302,"06066"
"09015904400","9044",Census Tract 9044,"06241"
"09015800500","8005",Census Tract 8005,"06280"
"09013850100","8501",Census Tract 8501,"06238"
"09001022200","222",Census Tract 222,"06902"
"09001022400","224",Census Tract 224,"06902"
"09001022300","223",Census Tract 223,"06902"
"09001070300","703",Census Tract 703,"06605"
"09001070400","704",Census Tract 704,"06604"
"09001070500","705",Census Tract 705,"06604"
"09001070600","706",Census Tract 706,"06604"
"09001070900","709",Census Tract 709,"06605"
"09001070200","702",Census Tract 702,"06605"
"09007541700","5417",Census Tract 5417,"06457"
"09007542200","5422",Census Tract 5422,"06457"
"09007570100","5701",Census Tract 5701,"06416"
"09003410101","4101.01",Census Tract 4101.01,"06013"
"09003410102","4101.02",Census Tract 4101.02,"06013"
"09003524501","5245.01",Census Tract 5245.01,"06105"
"09005320200","3202",Census Tract 3202,"06098"
"09005266100","2661",Census Tract 2661,"06757"
"09005298400","2984",Census Tract 2984,"06791"
"09005342100","3421",Census Tract 3421,"06751"
"09005310602","3106.02",Census Tract 3106.02,"06790"
"09005253300","2533",Census Tract 2533,"06776"
"09005250100","2501",Census Tract 2501,"06752"
"09005265100","2651",Census Tract 2651,"06754"
"09005253100","2531",Census Tract 2531,"06776"
"09009345400","3454",Census Tract 3454,"06770"
"09009346101","3461.01",Census Tract 3461.01,"06478"
"09009175500","1755",Census Tract 1755,"06492"
"09009352400","3524",Census Tract 3524,"06704"
"09009186200","1862",Census Tract 1862,"06472"
"09009170500","1705",Census Tract 1705,"06451"
"09009361200","3612",Census Tract 3612,"06716"
"09009351602","3516.02",Census Tract 3516.02,"06708"
"09009352000","3520",Census Tract 3520,"06708"
