tract_fips,tract_name,town,county,town_fips
"09001060800",Census Tract 608,Fairfield,Fairfield,"0900126620"
"09001060900",Census Tract 609,Fairfield,Fairfield,"0900126620"
"09001211300",Census Tract 2113,Danbury,Fairfield,"0900118500"
"09001020200",Census Tract 202,Stamford,Fairfield,"0900173070"
"09001020700",Census Tract 207,Stamford,Fairfield,"0900173070"
"09001045101",Census Tract 451.01,Wilton,Fairfield,"0900186370"
"09001050300",Census Tract 503,Westport,Fairfield,"0900183500"
"09001050600",Census Tract 506,Westport,Fairfield,"0900183500"
"09001210400",Census Tract 2104,Danbury,Fairfield,"0900118500"
"09001060600",Census Tract 606,Fairfield,Fairfield,"0900126620"
"09001072900",Census Tract 729,Bridgeport,Fairfield,"0900108070"
"09001211100",Census Tract 2111,Danbury,Fairfield,"0900118500"
"09001074000",Census Tract 740,Bridgeport,Fairfield,"0900108070"
"09001110301",Census Tract 1103.01,Shelton,Fairfield,"0900168170"
"09001211400",Census Tract 2114,Danbury,Fairfield,"0900118500"
"09001220100",Census Tract 2201,New Fairfield,Fairfield,"0900150860"
"09001220300",Census Tract 2203,New Fairfield,Fairfield,"0900150860"
"09001245300",Census Tract 2453,Ridgefield,Fairfield,"0900163970"
"09007580100",Census Tract 5801,Middlefield,Middlesex,"0900747080"
"09015820000",Census Tract 8200,Hampton,Windham,"0901536000"
"09015825000",Census Tract 8250,Scotland,Windham,"0901567400"
"09015906100",Census Tract 9061,Canterbury,Windham,"0901512130"
"09015907300",Census Tract 9073,Plainfield,Windham,"0901559980"
"09015900200",Census Tract 9002,Thompson,Windham,"0901575870"
"09015903200",Census Tract 9032,Putnam,Windham,"0901562710"
"09001021900",Census Tract 219,Stamford,Fairfield,"0900173070"
"09001022000",Census Tract 220,Stamford,Fairfield,"0900173070"
"09001021500",Census Tract 215,Stamford,Fairfield,"0900173070"
"09015908100",Census Tract 9081,Sterling,Windham,"0901573420"
"09003473700",Census Tract 4737,Windsor,Hartford,"0900387000"
"09003473800",Census Tract 4738,Windsor,Hartford,"0900387000"
"09003476200",Census Tract 4762,Windsor Locks,Hartford,"0900387070"
"09003480300",Census Tract 4803,Enfield,Hartford,"0900325990"
"09003484200",Census Tract 4842,East Windsor,Hartford,"0900324800"
"09003500900",Census Tract 5009,Hartford,Hartford,"0900337070"
"09003487500",Census Tract 4875,South Windsor,Hartford,"0900371390"
"09003503300",Census Tract 5033,Hartford,Hartford,"0900337070"
"09003466101",Census Tract 4661.01,Simsbury,Hartford,"0900368940"
"09003477101",Census Tract 4771.01,Suffield,Hartford,"0900374540"
"09003477102",Census Tract 4771.02,Suffield,Hartford,"0900374540"
"09003481300",Census Tract 4813,Enfield,Hartford,"0900325990"
"09003473601",Census Tract 4736.01,Windsor,Hartford,"0900387000"
"09003480400",Census Tract 4804,Enfield,Hartford,"0900325990"
"09003480500",Census Tract 4805,Enfield,Hartford,"0900325990"
"09003480600",Census Tract 4806,Enfield,Hartford,"0900325990"
"09003480700",Census Tract 4807,Enfield,Hartford,"0900325990"
"09003480900",Census Tract 4809,Enfield,Hartford,"0900325990"
"09003510500",Census Tract 5105,East Hartford,Hartford,"0900322630"
"09003511000",Census Tract 5110,East Hartford,Hartford,"0900322630"
"09003511100",Census Tract 5111,East Hartford,Hartford,"0900322630"
"09003511200",Census Tract 5112,East Hartford,Hartford,"0900322630"
"09003511400",Census Tract 5114,East Hartford,Hartford,"0900322630"
"09003481200",Census Tract 4812,Enfield,Hartford,"0900325990"
"09003494600",Census Tract 4946,Newington,Hartford,"0900352140"
"09003496100",Census Tract 4961,West Hartford,Hartford,"0900382590"
"09003496200",Census Tract 4962,West Hartford,Hartford,"0900382590"
"09003496300",Census Tract 4963,West Hartford,Hartford,"0900382590"
"09003430203",Census Tract 4302.03,Southington,Hartford,"0900370550"
"09003477200",Census Tract 4772,Suffield,Hartford,"0900374540"
"09003462201",Census Tract 4622.01,Avon,Hartford,"0900302060"
"09003400100",Census Tract 4001,Berlin,Hartford,"0900304300"
"09003464102",Census Tract 4641.02,Canton,Hartford,"0900312270"
"09003520100",Census Tract 5201,Glastonbury,Hartford,"0900331240"
"09003520202",Census Tract 5202.02,Glastonbury,Hartford,"0900331240"
"09003501700",Census Tract 5017,Hartford,Hartford,"0900337070"
"09003420600",Census Tract 4206,Plainville,Hartford,"0900360120"
"09003466202",Census Tract 4662.02,Simsbury,Hartford,"0900368940"
"09003415400",Census Tract 4154,New Britain,Hartford,"0900350440"
"09003416500",Census Tract 4165,New Britain,Hartford,"0900350440"
"09003462102",Census Tract 4621.02,Avon,Hartford,"0900302060"
"09003405500",Census Tract 4055,Bristol,Hartford,"0900308490"
"09003464101",Census Tract 4641.01,Canton,Hartford,"0900312270"
"09003473502",Census Tract 4735.02,Windsor,Hartford,"0900387000"
"09003500100",Census Tract 5001,Hartford,Hartford,"0900337070"
"09003501800",Census Tract 5018,Hartford,Hartford,"0900337070"
"09003510600",Census Tract 5106,East Hartford,Hartford,"0900322630"
"09003515102",Census Tract 5151.02,Manchester,Hartford,"0900344700"
"09003330100",Census Tract 3301,Hartland,Hartford,"0900337140"
"09003400200",Census Tract 4002,Berlin,Hartford,"0900304300"
"09003497100",Census Tract 4971,West Hartford,Hartford,"0900382590"
"09003405100",Census Tract 4051,Bristol,Hartford,"0900308490"
"09003405300",Census Tract 4053,Bristol,Hartford,"0900308490"
"09003406100",Census Tract 4061,Bristol,Hartford,"0900308490"
"09003496400",Census Tract 4964,West Hartford,Hartford,"0900382590"
"09003496500",Census Tract 4965,West Hartford,Hartford,"0900382590"
"09003496600",Census Tract 4966,West Hartford,Hartford,"0900382590"
"09003496700",Census Tract 4967,West Hartford,Hartford,"0900382590"
"09003430601",Census Tract 4306.01,Southington,Hartford,"0900370550"
"09003430500",Census Tract 4305,Southington,Hartford,"0900370550"
"09003468101",Census Tract 4681.01,Granby,Hartford,"0900332640"
"09003466102",Census Tract 4661.02,Simsbury,Hartford,"0900368940"
"09003487400",Census Tract 4874,South Windsor,Hartford,"0900371390"
"09003471300",Census Tract 4713,Bloomfield,Hartford,"0900305910"
"09003460302",Census Tract 4603.02,Farmington,Hartford,"0900327600"
"09003430202",Census Tract 4302.02,Southington,Hartford,"0900370550"
"09003430400",Census Tract 4304,Southington,Hartford,"0900370550"
"09003462101",Census Tract 4621.01,Avon,Hartford,"0900302060"
"09003405800",Census Tract 4058,Bristol,Hartford,"0900308490"
"09003470100",Census Tract 4701,East Granby,Hartford,"0900322070"
"09003520501",Census Tract 5205.01,Glastonbury,Hartford,"0900331240"
"09003468102",Census Tract 4681.02,Granby,Hartford,"0900332640"
"09003466300",Census Tract 4663,Simsbury,Hartford,"0900368940"
"09003481000",Census Tract 4810,Enfield,Hartford,"0900325990"
"09003481100",Census Tract 4811,Enfield,Hartford,"0900325990"
"09003460202",Census Tract 4602.02,Farmington,Hartford,"0900327600"
"09003420700",Census Tract 4207,Plainville,Hartford,"0900360120"
"09003501400",Census Tract 5014,Hartford,Hartford,"0900337070"
"09003473501",Census Tract 4735.01,Windsor,Hartford,"0900387000"
"09003476100",Census Tract 4761,Windsor Locks,Hartford,"0900387070"
"09003430301",Census Tract 4303.01,Southington,Hartford,"0900370550"
"09003471400",Census Tract 4714,Bloomfield,Hartford,"0900305910"
"09003405900",Census Tract 4059,Bristol,Hartford,"0900308490"
"09003476300",Census Tract 4763,Windsor Locks,Hartford,"0900387070"
"09001240200",Census Tract 2402,Redding,Fairfield,"0900163480"
"09003406001",Census Tract 4060.01,Bristol,Hartford,"0900308490"
"09003496800",Census Tract 4968,West Hartford,Hartford,"0900382590"
"09003496900",Census Tract 4969,West Hartford,Hartford,"0900382590"
"09003497000",Census Tract 4970,West Hartford,Hartford,"0900382590"
"09003497200",Census Tract 4972,West Hartford,Hartford,"0900382590"
"09003502100",Census Tract 5021,Hartford,Hartford,"0900337070"
"09001205100",Census Tract 2051,Brookfield,Fairfield,"0900108980"
"09001210900",Census Tract 2109,Danbury,Fairfield,"0900118500"
"09001042500",Census Tract 425,Norwalk,Fairfield,"0900156060"
"09001105100",Census Tract 1051,Easton,Fairfield,"0900123890"
"09001060400",Census Tract 604,Fairfield,Fairfield,"0900126620"
"09001050500",Census Tract 505,Westport,Fairfield,"0900183500"
"09001010102",Census Tract 101.02,Greenwich,Fairfield,"0900133620"
"09001035100",Census Tract 351,New Canaan,Fairfield,"0900150580"
"09001060200",Census Tract 602,Fairfield,Fairfield,"0900126620"
"09001205300",Census Tract 2053,Brookfield,Fairfield,"0900108980"
"09001081000",Census Tract 810,Stratford,Fairfield,"0900174190"
"09001220200",Census Tract 2202,New Fairfield,Fairfield,"0900150860"
"09001230400",Census Tract 2304,Newtown,Fairfield,"0900152980"
"09001245400",Census Tract 2454,Ridgefield,Fairfield,"0900163970"
"09001100200",Census Tract 1002,Monroe,Fairfield,"0900148620"
"09003460204",Census Tract 4602.04,Farmington,Hartford,"0900327600"
"09009190100",Census Tract 1901,Guilford,New Haven,"0900934950"
"09015800700",Census Tract 8007,Windham,Windham,"0901586790"
"09015815000",Census Tract 8150,Chaplin,Windham,"0901513810"
"09001010400",Census Tract 104,Greenwich,Fairfield,"0900133620"
"09009141500",Census Tract 1415,New Haven,New Haven,"0900952070"
"09009141600",Census Tract 1416,New Haven,New Haven,"0900952070"
"09009141800",Census Tract 1418,New Haven,New Haven,"0900952070"
"09009141900",Census Tract 1419,New Haven,New Haven,"0900952070"
"09009142100",Census Tract 1421,New Haven,New Haven,"0900952070"
"09009351601",Census Tract 3516.01,Waterbury,New Haven,"0900980070"
"09009351500",Census Tract 3515,Waterbury,New Haven,"0900980070"
"09009150300",Census Tract 1503,Milford,New Haven,"0900947535"
"09009150600",Census Tract 1506,Milford,New Haven,"0900947535"
"09009165200",Census Tract 1652,Hamden,New Haven,"0900935650"
"09009171300",Census Tract 1713,Meriden,New Haven,"0900946520"
"09009171400",Census Tract 1714,Meriden,New Haven,"0900946520"
"09009171500",Census Tract 1715,Meriden,New Haven,"0900946520"
"09009171600",Census Tract 1716,Meriden,New Haven,"0900946520"
"09011696300",Census Tract 6963,Norwich,New London,"0901156270"
"09011702100",Census Tract 7021,Groton,New London,"0901134250"
"09009171700",Census Tract 1717,Meriden,New Haven,"0900946520"
"09009175100",Census Tract 1751,Wallingford,New Haven,"0900978740"
"09009175200",Census Tract 1752,Wallingford,New Haven,"0900978740"
"09009175300",Census Tract 1753,Wallingford,New Haven,"0900978740"
"09011700100",Census Tract 7001,Preston,New London,"0901162150"
"09011660101",Census Tract 6601.01,Old Lyme,New London,"0901157040"
"09011709100",Census Tract 7091,Griswold,New London,"0901133900"
"09011710100",Census Tract 7101,Lisbon,New London,"0901143230"
"09011696100",Census Tract 6961,Norwich,New London,"0901156270"
"09011696200",Census Tract 6962,Norwich,New London,"0901156270"
"09011696400",Census Tract 6964,Norwich,New London,"0901156270"
"09011708100",Census Tract 7081,Voluntown,New London,"0901178600"
"09011696700",Census Tract 6967,Norwich,New London,"0901156270"
"09011870100",Census Tract 8701,Lebanon,New London,"0901142390"
"09011702800",Census Tract 7028,Groton,New London,"0901134250"
"09011702900",Census Tract 7029,Groton,New London,"0901134250"
"09011703000",Census Tract 7030,Groton,New London,"0901134250"
"09011693700",Census Tract 6937,Waterford,New London,"0901180280"
"09011716102",Census Tract 7161.02,East Lyme,New London,"0901123400"
"09011713100",Census Tract 7131,Bozrah,New London,"0901106820"
"09011696500",Census Tract 6965,Norwich,New London,"0901156270"
"09011660102",Census Tract 6601.02,Old Lyme,New London,"0901157040"
"09005425600",Census Tract 4256,Norfolk,Litchfield,"0900553470"
"09003405600",Census Tract 4056,Bristol,Hartford,"0900308490"
"09013530500",Census Tract 5305,Vernon,Tolland,"0901378250"
"09013881100",Census Tract 8811,Mansfield,Tolland,"0901344910"
"09013533101",Census Tract 5331.01,Tolland,Tolland,"0901376290"
"09013850200",Census Tract 8502,Coventry,Tolland,"0901317800"
"09003420400",Census Tract 4204,Plainville,Hartford,"0900360120"
"09003514102",Census Tract 5141.02,Manchester,Hartford,"0900344700"
"09003514400",Census Tract 5144,Manchester,Hartford,"0900344700"
"09003514500",Census Tract 5145,Manchester,Hartford,"0900344700"
"09003514600",Census Tract 5146,Manchester,Hartford,"0900344700"
"09003514700",Census Tract 5147,Manchester,Hartford,"0900344700"
"09003514800",Census Tract 5148,Manchester,Hartford,"0900344700"
"09003514900",Census Tract 5149,Manchester,Hartford,"0900344700"
"09001061200",Census Tract 612,Fairfield,Fairfield,"0900126620"
"09001061500",Census Tract 615,Fairfield,Fairfield,"0900126620"
"09001061600",Census Tract 616,Fairfield,Fairfield,"0900126620"
"09001070100",Census Tract 701,Bridgeport,Fairfield,"0900108070"
"09013530200",Census Tract 5302,Vernon,Tolland,"0901378250"
"09015904400",Census Tract 9044,Killingly,Windham,"0901540500"
"09015800500",Census Tract 8005,Windham,Windham,"0901586790"
"09013850100",Census Tract 8501,Coventry,Tolland,"0901317800"
"09001022200",Census Tract 222,Stamford,Fairfield,"0900173070"
"09001022400",Census Tract 224,Stamford,Fairfield,"0900173070"
"09001022300",Census Tract 223,Stamford,Fairfield,"0900173070"
"09001070300",Census Tract 703,Bridgeport,Fairfield,"0900108070"
"09001070400",Census Tract 704,Bridgeport,Fairfield,"0900108070"
"09001070500",Census Tract 705,Bridgeport,Fairfield,"0900108070"
"09001070600",Census Tract 706,Bridgeport,Fairfield,"0900108070"
"09001070900",Census Tract 709,Bridgeport,Fairfield,"0900108070"
"09001070200",Census Tract 702,Bridgeport,Fairfield,"0900108070"
"09007541700",Census Tract 5417,Middletown,Middlesex,"0900747360"
"09007542200",Census Tract 5422,Middletown,Middlesex,"0900747360"
"09007570100",Census Tract 5701,Cromwell,Middlesex,"0900718080"
"09003410101",Census Tract 4101.01,Burlington,Hartford,"0900310100"
"09003410102",Census Tract 4101.02,Burlington,Hartford,"0900310100"
"09003524501",Census Tract 5245.01,Hartford,Hartford,"0900337070"
"09005320200",Census Tract 3202,Winchester,Litchfield,"0900586440"
"09005266100",Census Tract 2661,Kent,Litchfield,"0900540290"
"09005298400",Census Tract 2984,Harwinton,Litchfield,"0900537280"
"09005342100",Census Tract 3421,Bethlehem,Litchfield,"0900504930"
"09005310602",Census Tract 3106.02,Torrington,Litchfield,"0900576570"
"09005253300",Census Tract 2533,New Milford,Litchfield,"0900552630"
"09005250100",Census Tract 2501,Bridgewater,Litchfield,"0900508210"
"09005265100",Census Tract 2651,Warren,Litchfield,"0900579510"
"09005253100",Census Tract 2531,New Milford,Litchfield,"0900552630"
"09009345400",Census Tract 3454,Naugatuck,New Haven,"0900949950"
"09009346101",Census Tract 3461.01,Oxford,New Haven,"0900958300"
"09009175500",Census Tract 1755,Wallingford,New Haven,"0900978740"
"09009352400",Census Tract 3524,Waterbury,New Haven,"0900980070"
"09009186200",Census Tract 1862,North Branford,New Haven,"0900953890"
"09009170500",Census Tract 1705,Meriden,New Haven,"0900946520"
"09009361200",Census Tract 3612,Wolcott,New Haven,"0900987560"
"09009351602",Census Tract 3516.02,Waterbury,New Haven,"0900980070"
"09009352000",Census Tract 3520,Waterbury,New Haven,"0900980070"
"09009167201",Census Tract 1672.01,North Haven,New Haven,"0900954870"
"09009186100",Census Tract 1861,North Branford,New Haven,"0900953890"
"09009180100",Census Tract 1801,East Haven,New Haven,"0900922910"
"09009170900",Census Tract 1709,Meriden,New Haven,"0900946520"
"09009142000",Census Tract 1420,New Haven,New Haven,"0900952070"
"09009343300",Census Tract 3433,Cheshire,New Haven,"0900914160"
"09009184300",Census Tract 1843,Branford,New Haven,"0900907310"
"09009151200",Census Tract 1512,Milford,New Haven,"0900947535"
"09009176000",Census Tract 1760,Wallingford,New Haven,"0900978740"
"09009167202",Census Tract 1672.02,North Haven,New Haven,"0900954870"
"09009155000",Census Tract 1550,West Haven,New Haven,"0900982870"
"09009351900",Census Tract 3519,Waterbury,New Haven,"0900980070"
"09009125200",Census Tract 1252,Ansonia,New Haven,"0900901220"
"09009167100",Census Tract 1671,North Haven,New Haven,"0900954870"
"09009184200",Census Tract 1842,Branford,New Haven,"0900907310"
"09009160100",Census Tract 1601,Woodbridge,New Haven,"0900987700"
"09005310803",Census Tract 3108.03,Torrington,Litchfield,"0900576570"
"09005310804",Census Tract 3108.04,Torrington,Litchfield,"0900576570"
"09009140900",Census Tract 1409,New Haven,New Haven,"0900952070"
"09009190200",Census Tract 1902,Guilford,New Haven,"0900934950"
"09009175800",Census Tract 1758,Wallingford,New Haven,"0900978740"
"09009344100",Census Tract 3441,Middlebury,New Haven,"0900946940"
"09009343101",Census Tract 3431.01,Cheshire,New Haven,"0900914160"
"09009351700",Census Tract 3517,Waterbury,New Haven,"0900980070"
"09009194100",Census Tract 1941,Madison,New Haven,"0900944560"
"09009130200",Census Tract 1302,Seymour,New Haven,"0900967610"
"09009151100",Census Tract 1511,Milford,New Haven,"0900947535"
"09009348111",Census Tract 3481.11,Southbury,New Haven,"0900969640"
"09009343400",Census Tract 3434,Cheshire,New Haven,"0900914160"
"09009150900",Census Tract 1509,Milford,New Haven,"0900947535"
"09009170100",Census Tract 1701,Meriden,New Haven,"0900946520"
"09009157400",Census Tract 1574,Orange,New Haven,"0900957600"
"09009157100",Census Tract 1571,Orange,New Haven,"0900957600"
"09009361100",Census Tract 3611,Wolcott,New Haven,"0900987560"
"09005425400",Census Tract 4254,Plymouth,Litchfield,"0900560750"
"09009345201",Census Tract 3452.01,Naugatuck,New Haven,"0900949950"
"09009142800",Census Tract 1428,New Haven,New Haven,"0900952070"
"09009190302",Census Tract 1903.02,Guilford,New Haven,"0900934950"
"09005262100",Census Tract 2621,Sharon,Litchfield,"0900567960"
"09005310300",Census Tract 3103,Torrington,Litchfield,"0900576570"
"09005310801",Census Tract 3108.01,Torrington,Litchfield,"0900576570"
"09005360200",Census Tract 3602,Watertown,Litchfield,"0900580490"
"09005425500",Census Tract 4255,Plymouth,Litchfield,"0900560750"
"09005260200",Census Tract 2602,North Canaan,Litchfield,"0900554030"
"09005267100",Census Tract 2671,Washington,Litchfield,"0900579720"
"09005298300",Census Tract 2983,Harwinton,Litchfield,"0900537280"
"09005310700",Census Tract 3107,Torrington,Litchfield,"0900576570"
"09005360300",Census Tract 3603,Watertown,Litchfield,"0900580490"
"09009194201",Census Tract 1942.01,Madison,New Haven,"0900944560"
"09009171100",Census Tract 1711,Meriden,New Haven,"0900946520"
"09009175400",Census Tract 1754,Wallingford,New Haven,"0900978740"
"09009190301",Census Tract 1903.01,Guilford,New Haven,"0900934950"
"09009343102",Census Tract 3431.02,Cheshire,New Haven,"0900914160"
"09009344200",Census Tract 3442,Middlebury,New Haven,"0900946940"
"09009352300",Census Tract 3523,Waterbury,New Haven,"0900980070"
"09009154700",Census Tract 1547,West Haven,New Haven,"0900982870"
"09009160200",Census Tract 1602,Woodbridge,New Haven,"0900987700"
"09009345300",Census Tract 3453,Naugatuck,New Haven,"0900949950"
"09009170800",Census Tract 1708,Meriden,New Haven,"0900946520"
"09009141200",Census Tract 1412,New Haven,New Haven,"0900952070"
"09005360400",Census Tract 3604,Watertown,Litchfield,"0900580490"
"09001043800",Census Tract 438,Norwalk,Fairfield,"0900156060"
"09001061100",Census Tract 611,Fairfield,Fairfield,"0900126620"
"09009170600",Census Tract 1706,Meriden,New Haven,"0900946520"
"09009170700",Census Tract 1707,Meriden,New Haven,"0900946520"
"09009171000",Census Tract 1710,Meriden,New Haven,"0900946520"
"09003514200",Census Tract 5142,Manchester,Hartford,"0900344700"
"09001061300",Census Tract 613,Fairfield,Fairfield,"0900126620"
"09009171200",Census Tract 1712,Meriden,New Haven,"0900946520"
"09009165600",Census Tract 1656,Hamden,New Haven,"0900935650"
"09009165700",Census Tract 1657,Hamden,New Haven,"0900935650"
"09009165801",Census Tract 1658.01,Hamden,New Haven,"0900935650"
"09009165802",Census Tract 1658.02,Hamden,New Haven,"0900935650"
"09009165500",Census Tract 1655,Hamden,New Haven,"0900935650"
"09001043000",Census Tract 430,Norwalk,Fairfield,"0900156060"
"09009165900",Census Tract 1659,Hamden,New Haven,"0900935650"
"09001030400",Census Tract 304,Darien,Fairfield,"0900118850"
"09009150800",Census Tract 1508,Milford,New Haven,"0900947535"
"09009165300",Census Tract 1653,Hamden,New Haven,"0900935650"
"09009165400",Census Tract 1654,Hamden,New Haven,"0900935650"
"09005268100",Census Tract 2681,Roxbury,Litchfield,"0900565930"
"09005290100",Census Tract 2901,Barkhamsted,Litchfield,"0900502760"
"09005293100",Census Tract 2931,Colebrook,Litchfield,"0900516050"
"09005303100",Census Tract 3031,Morris,Litchfield,"0900549460"
"09001061400",Census Tract 614,Fairfield,Fairfield,"0900126620"
"09005310100",Census Tract 3101,Torrington,Litchfield,"0900576570"
"09005310200",Census Tract 3102,Torrington,Litchfield,"0900576570"
"09005310400",Census Tract 3104,Torrington,Litchfield,"0900576570"
"09005310500",Census Tract 3105,Torrington,Litchfield,"0900576570"
"09001072100",Census Tract 721,Bridgeport,Fairfield,"0900108070"
"09005253600",Census Tract 2536,New Milford,Litchfield,"0900552630"
"09009141400",Census Tract 1414,New Haven,New Haven,"0900952070"
