tract_fips,tract_name,town,county,town_fips
"09003405700",Census Tract 4057,Bristol,Hartford,"0900308490"
"09003510200",Census Tract 5102,East Hartford,Hartford,"0900322630"
"09003510400",Census Tract 5104,East Hartford,Hartford,"0900322630"
"09015901100",Census Tract 9011,Woodstock,Windham,"0901588190"
"09003510300",Census Tract 5103,East Hartford,Hartford,"0900322630"
"09003492400",Census Tract 4924,Wethersfield,Hartford,"0900384900"
"09003405200",Census Tract 4052,Bristol,Hartford,"0900308490"
"09003415300",Census Tract 4153,New Britain,Hartford,"0900350440"
"09003492500",Census Tract 4925,Wethersfield,Hartford,"0900384900"
"09003494100",Census Tract 4941,Newington,Hartford,"0900352140"
"09003494201",Census Tract 4942.01,Newington,Hartford,"0900352140"
"09003494202",Census Tract 4942.02,Newington,Hartford,"0900352140"
"09003494300",Census Tract 4943,Newington,Hartford,"0900352140"
"09003510700",Census Tract 5107,East Hartford,Hartford,"0900322630"
"09003510900",Census Tract 5109,East Hartford,Hartford,"0900322630"
"09003510800",Census Tract 5108,East Hartford,Hartford,"0900322630"
"09003502300",Census Tract 5023,Hartford,Hartford,"0900337070"
"09011705300",Census Tract 7053,Stonington,New London,"0901173770"
"09011709200",Census Tract 7092,Griswold,New London,"0901133900"
"09011712100",Census Tract 7121,Franklin,New London,"0901129910"
"09001090300",Census Tract 903,Trumbull,Fairfield,"0900177200"
"09001010101",Census Tract 101.01,Greenwich,Fairfield,"0900133620"
"09001020600",Census Tract 206,Stamford,Fairfield,"0900173070"
"09001021300",Census Tract 213,Stamford,Fairfield,"0900173070"
"09001021100",Census Tract 211,Stamford,Fairfield,"0900173070"
"09001035300",Census Tract 353,New Canaan,Fairfield,"0900150580"
"09001022100",Census Tract 221,Stamford,Fairfield,"0900173070"
"09001073600",Census Tract 736,Bridgeport,Fairfield,"0900108070"
"09001050100",Census Tract 501,Westport,Fairfield,"0900183500"
"09001060500",Census Tract 605,Fairfield,Fairfield,"0900126620"
"09001100300",Census Tract 1003,Monroe,Fairfield,"0900148620"
"09001045300",Census Tract 453,Wilton,Fairfield,"0900186370"
"09001061000",Census Tract 610,Fairfield,Fairfield,"0900126620"
"09001080800",Census Tract 808,Stratford,Fairfield,"0900174190"
"09003405401",Census Tract 4054.01,Bristol,Hartford,"0900308490"
"09001030300",Census Tract 303,Darien,Fairfield,"0900118850"
"09001210702",Census Tract 2107.02,Danbury,Fairfield,"0900118500"
"09001210701",Census Tract 2107.01,Danbury,Fairfield,"0900118500"
"09015902200",Census Tract 9022,Eastford,Windham,"0901521860"
"09007541100",Census Tract 5411,Middletown,Middlesex,"0900747360"
"09007541300",Census Tract 5413,Middletown,Middlesex,"0900747360"
"09007541500",Census Tract 5415,Middletown,Middlesex,"0900747360"
"09015800300",Census Tract 8003,Windham,Windham,"0901586790"
"09015905100",Census Tract 9051,Brooklyn,Windham,"0901509190"
"09015902500",Census Tract 9025,Pomfret,Windham,"0901561030"
"09015904500",Census Tract 9045,Killingly,Windham,"0901540500"
"09015800400",Census Tract 8004,Windham,Windham,"0901586790"
"09015903100",Census Tract 9031,Putnam,Windham,"0901562710"
"09015800600",Census Tract 8006,Windham,Windham,"0901586790"
"09015907100",Census Tract 9071,Plainfield,Windham,"0901559980"
"09015900100",Census Tract 9001,Thompson,Windham,"0901575870"
"09015904100",Census Tract 9041,Killingly,Windham,"0901540500"
"09015830100",Census Tract 8301,Ashford,Windham,"0901501430"
"09003484100",Census Tract 4841,East Windsor,Hartford,"0900324800"
"09001230502",Census Tract 2305.02,Newtown,Fairfield,"0900152980"
"09001230501",Census Tract 2305.01,Newtown,Fairfield,"0900152980"
"09003473100",Census Tract 4731,Windsor,Hartford,"0900387000"
"09009130101",Census Tract 1301.01,Seymour,New Haven,"0900967610"
"09009130102",Census Tract 1301.02,Seymour,New Haven,"0900967610"
"09009361500",Census Tract 3615,West Haven,New Haven,"0900982870"
"09007541600",Census Tract 5416,Middletown,Middlesex,"0900747360"
"09003406002",Census Tract 4060.02,Bristol,Hartford,"0900308490"
"09003471100",Census Tract 4711,Bloomfield,Hartford,"0900305910"
"09003471500",Census Tract 4715,Bloomfield,Hartford,"0900305910"
"09003473400",Census Tract 4734,Windsor,Hartford,"0900387000"
"09003473602",Census Tract 4736.02,Windsor,Hartford,"0900387000"
"09003492200",Census Tract 4922,Wethersfield,Hartford,"0900384900"
"09003492300",Census Tract 4923,Wethersfield,Hartford,"0900384900"
"09003500400",Census Tract 5004,Hartford,Hartford,"0900337070"
"09003500700",Census Tract 5007,Hartford,Hartford,"0900337070"
"09003501200",Census Tract 5012,Hartford,Hartford,"0900337070"
"09003501300",Census Tract 5013,Hartford,Hartford,"0900337070"
"09003501500",Census Tract 5015,Hartford,Hartford,"0900337070"
"09009140800",Census Tract 1408,New Haven,New Haven,"0900952070"
"09009141000",Census Tract 1410,New Haven,New Haven,"0900952070"
"09009141100",Census Tract 1411,New Haven,New Haven,"0900952070"
"09009141300",Census Tract 1413,New Haven,New Haven,"0900952070"
"09011702500",Census Tract 7025,Groton,New London,"0901134250"
"09011702600",Census Tract 7026,Groton,New London,"0901134250"
"09011702700",Census Tract 7027,Groton,New London,"0901134250"
"09011980000",Census Tract 9800,Groton,New London,"0901134250"
"09009142604",Census Tract 1426.04,New Haven,New Haven,"0900952070"
"09009361401",Census Tract 3614.01,New Haven,New Haven,"0900952070"
"09003460100",Census Tract 4601,Farmington,Hartford,"0900327600"
"09009142603",Census Tract 1426.03,New Haven,New Haven,"0900952070"
"09001257200",Census Tract 2572,Bridgeport,Fairfield,"0900108070"
"09003405402",Census Tract 4054.02,Bristol,Hartford,"0900308490"
"09003524502",Census Tract 5245.02,Hartford,Hartford,"0900337070"
"09003524200",Census Tract 5242,Rocky Hill,Hartford,"0900365370"
"09003460203",Census Tract 4602.03,Farmington,Hartford,"0900327600"
"09003487201",Census Tract 4872.01,South Windsor,Hartford,"0900371390"
"09003487202",Census Tract 4872.02,South Windsor,Hartford,"0900371390"
"09003514101",Census Tract 5141.01,Manchester,Hartford,"0900344700"
"09003520302",Census Tract 5203.02,Glastonbury,Hartford,"0900331240"
"09003520301",Census Tract 5203.01,Glastonbury,Hartford,"0900331240"
"09003524300",Census Tract 5243,Enfield,Hartford,"0900325990"
"09003524700",Census Tract 5247,Hartford,Hartford,"0900337070"
"09003524400",Census Tract 5244,Hartford,Hartford,"0900337070"
"09003524600",Census Tract 5246,Hartford,Hartford,"0900337070"
"09013528100",Census Tract 5281,Andover,Tolland,"0901301080"
"09001050400",Census Tract 504,Westport,Fairfield,"0900183500"
"09001060700",Census Tract 607,Fairfield,Fairfield,"0900126620"
